STATE_CODE,SHRP_ID,CONSTRUCTION_NO,MRI,NEXT_MRI,NEXT_VISIT_DATE,YEARS_TO_NEXT,AADTT_ALL_TRUCKS_TREND,TOTAL_ANN_PRECIP,MEAN_ANN_TEMP_AVG,FREEZE_INDEX_YR,FREEZE_THAW_YR,PAVEMENT_AGE,SN,DIRECTION_OF_TRAVEL_EXP
23,1012,1,0.8309999704360962,0.800000011920929,2002-05-07,0.2080766598220397,1799,1215.800048828125,8.100000381469727,359,132,16.555783709787818,7.325708661417323,Southbound
40,1015,1,1.508999943733215,1.5889999866485596,1991-01-11,0.34770704996577684,297,1374.5999755859375,17.600000381469727,55,44,12.432580424366872,2.4793307086614176,Northbound
40,1015,1,1.562000036239624,1.6050000190734863,1993-03-23,2.195756331279945,297,1250.0,17.100000381469727,21,61,12.780287474332649,2.4793307086614176,Northbound
40,1015,1,1.593999981880188,1.4470000267028809,1995-03-31,2.020533880903491,148,1093.0,16.200000762939453,28,63,14.976043805612594,2.4793307086614176,Northbound
40,1015,1,1.5180000066757202,1.694000005722046,1998-06-23,3.2306639288158796,198,1059.800048828125,16.799999237060547,31,59,16.996577686516083,2.4793307086614176,Northbound
28,1016,1,1.0850000381469729,1.0859999656677246,1992-02-19,1.2621492128678986,124,1496.0999755859375,18.100000381469727,7,41,4.03832991101985,6.046929133858268,Northbound
28,1016,1,1.0789999961853027,1.0789999961853027,1992-03-27,0.10130047912388775,171,1443.9000244140625,16.700000762939453,5,50,5.300479123887748,6.046929133858268,Northbound
28,1016,1,1.0889999866485596,1.0850000381469729,1992-08-17,0.3915126625598905,171,1443.9000244140625,16.700000762939453,5,50,5.401779603011636,6.046929133858268,Northbound
28,1016,1,1.087000012397766,1.062999963760376,1992-10-21,0.17796030116358658,171,1443.9000244140625,16.700000762939453,5,50,5.793292265571527,6.046929133858268,Northbound
28,1016,1,1.0540000200271606,1.0499999523162842,1993-01-12,0.2272416153319644,171,1443.9000244140625,16.700000762939453,5,50,5.971252566735113,6.046929133858268,Northbound
28,1016,1,1.0520000457763672,1.0820000171661377,1994-01-25,1.0349075975359343,173,1300.699951171875,16.600000381469727,4,56,6.198494182067077,6.046929133858268,Northbound
28,1016,1,1.0889999866485596,1.1039999723434448,1995-10-27,1.7522245037645447,168,1584.800048828125,17.0,14,58,7.233401779603011,6.046929133858268,Northbound
28,1016,1,1.1080000400543213,1.1039999723434448,1996-01-08,0.1998631074606434,169,1487.4000244140625,17.100000381469727,9,55,8.985626283367557,6.046929133858268,Northbound
28,1016,1,1.100000023841858,1.1260000467300415,1996-04-23,0.29021218343600275,280,1260.5999755859375,16.799999237060547,64,52,9.1854893908282,6.046929133858268,Northbound
28,1016,1,1.1239999532699585,1.090999960899353,1996-08-08,0.2929500342231348,280,1260.5999755859375,16.799999237060547,64,52,9.475701574264203,6.046929133858268,Northbound
28,1016,1,1.10099995136261,1.0449999570846558,1996-10-18,0.1943874058863792,280,1260.5999755859375,16.799999237060547,64,52,9.768651608487337,6.046929133858268,Northbound
28,1016,1,1.0700000524520874,1.062999963760376,1997-10-14,0.9883641341546886,280,1260.5999755859375,16.799999237060547,64,52,9.963039014373717,6.046929133858268,Northbound
40,1017,1,1.3350000381469729,1.5219999551773071,1991-08-30,0.5941136208076659,1282,1172.0,16.700000762939453,28,65,9.316906228610542,2.5195275590551183,Northbound
40,1017,1,1.4859999418258667,1.5540000200271606,1993-09-16,2.0479123887748116,1282,1172.0,16.700000762939453,28,65,9.911019849418206,2.5195275590551183,Northbound
40,1017,1,1.559999942779541,1.5460000038146973,1995-04-04,1.5468856947296372,1149,1338.0999755859375,15.600000381469728,36,65,11.958932238193018,2.5195275590551183,Northbound
16,1021,1,1.2760000228881836,1.2380000352859497,1990-07-20,0.8624229979466119,490,260.79998779296875,6.099999904632568,874,118,3.9370294318959616,3.3368503937007876,Westbound
16,1021,1,1.246999979019165,1.2450000047683716,1990-10-05,0.2108145106091718,446,232.0,7.199999809265137,652,135,4.799452429842574,3.3368503937007876,Westbound
16,1021,1,1.2280000448226929,1.25,1991-09-20,0.9582477754962354,446,232.0,7.199999809265137,652,135,5.0102669404517455,3.3368503937007876,Westbound
1,1021,1,0.962000012397766,0.9319999814033508,1992-04-03,1.8261464750171115,289,1311.300048828125,18.5,2,24,5.0130047912388775,3.616417322834646,Westbound
16,1021,1,1.2289999723434448,1.284999966621399,1992-10-26,1.1006160164271048,492,319.70001220703125,6.800000190734863,637,132,5.968514715947981,3.3368503937007876,Westbound
1,1021,1,0.9269999861717224,0.9950000047683716,1994-02-17,1.8754277891854894,307,1598.300048828125,16.799999237060547,1,36,6.839151266255989,3.616417322834646,Westbound
16,1021,1,1.2649999856948853,1.243000030517578,1993-12-04,1.106091718001369,402,239.3999938964844,7.599999904632568,581,128,7.069130732375085,3.3368503937007876,Westbound
16,1021,1,1.243000030517578,1.187000036239624,1994-09-14,0.7775496235455168,776,430.7000122070313,5.099999904632568,867,117,8.175222450376454,3.3368503937007876,Westbound
1,1021,1,0.9769999980926514,1.0140000581741333,1995-12-13,1.8179329226557153,346,1477.9000244140625,17.899999618530273,9,36,8.714579055441478,3.616417322834646,Westbound
16,1021,1,1.194000005722046,1.190999984741211,1995-07-18,0.840520191649555,633,308.6000061035156,7.800000190734863,494,132,8.952772073921972,3.3368503937007876,Westbound
