STATE_CODE,SHRP_ID,CONSTRUCTION_NO,YEAR,AADTT_ALL_TRUCKS_TREND
12,3996,1,1987,236
12,4097,1,1987,1517
12,4099,1,1987,196
12,4103,1,1987,179
12,4105,1,1987,207
12,4107,1,1987,256
12,4108,1,1987,132
12,9054,1,1983,169
12,3995,1,1990,699
12,3996,1,1990,203
12,4097,1,1990,1240
12,4099,1,1990,207
12,4103,1,1990,259
12,4105,1,1990,326
12,4107,1,1990,214
12,4108,1,1990,298
12,3995,1,1982,415
12,3996,1,1982,286
12,1060,1,1984,594
12,4099,1,1982,222
12,4103,1,1982,102
12,3995,1,1985,502
12,3996,1,1985,255
12,4099,1,1985,207
12,9054,1,1986,216
12,9054,1,1988,254
12,4103,1,1985,143
12,4105,1,1985,100
12,4107,1,1985,295
12,9054,1,1987,234
12,9054,1,1989,275
12,1060,1,1989,264
12,3995,1,1984,471
12,3996,1,1984,265
12,4099,1,1984,212
12,4103,1,1984,127
12,4105,1,1984,46
12,4107,1,1984,299
12,9054,1,1982,156
12,9054,1,1985,199
12,1060,1,1983,594
12,3995,1,1983,442
12,9054,1,1984,184
12,3996,1,1983,275
12,1060,1,1986,392
12,1060,1,1988,447
12,1060,1,1987,392
12,3995,1,1988,607
12,3996,1,1988,228
12,4097,1,1988,1512
12,4099,1,1988,191
12,3995,1,1989,647
12,3996,1,1989,347
12,4099,1,1983,217
12,4103,1,1983,114
12,4107,1,1983,267
12,1060,1,1990,253
12,4097,1,1989,1238
12,4099,1,1989,186
12,4103,1,1989,232
12,4105,1,1989,460
12,4107,1,1989,311
12,4108,1,1989,173
12,3995,1,1986,535
12,3996,1,1986,246
12,4097,1,1986,1147
12,4099,1,1986,201
12,4103,1,1986,160
12,4105,1,1986,153
12,4107,1,1986,171
12,4108,1,1986,111
12,4103,1,1988,208
12,4105,1,1988,141
12,4107,1,1988,280
12,4108,1,1988,153
12,3995,1,1995,511
12,3996,1,1995,162
12,9054,1,1993,392
12,9054,1,1992,429
12,9054,1,1991,406
12,3995,1,1994,501
12,3996,1,1994,132
12,4097,1,1994,1341
12,4103,1,1994,302
12,4107,1,1994,100
12,4108,1,1994,283
12,9054,1,1990,252
12,1060,1,1991,174
12,1060,1,1992,130
12,1060,1,1993,178
12,3995,1,1993,449
12,3996,1,1993,203
12,3995,1,1991,1529
12,3996,1,1991,187
12,4097,1,1991,740
12,4099,1,1991,207
12,4103,1,1991,413
12,3995,1,1992,1022
12,3996,1,1992,146
12,4097,1,1993,1383
12,4103,1,1993,246
12,4105,1,1993,449
12,4107,1,1993,145
12,4108,1,1993,109
12,4105,1,1991,472
12,4107,1,1991,94
12,4108,1,1991,244
12,1060,1,1995,146
12,9054,1,1994,411
12,1060,1,1996,139
12,4097,1,1992,1146
12,4099,1,1992,222
12,4103,1,1992,557
12,4105,1,1992,526
12,4107,1,1992,134
12,4108,1,1992,199
12,4097,1,1998,1706
12,4103,1,1998,837
12,4107,1,1998,177
12,4097,1,1995,1373
12,4103,1,1995,251
12,4107,1,1995,121
12,4108,1,1995,291
12,3995,1,1996,1773
12,3996,1,1996,169
12,4097,1,1996,1448
12,4103,1,1996,714
12,4107,1,1996,149
12,1060,1,1997,98
12,4108,1,1996,165
12,3995,1,1997,1826
12,3996,1,1997,204
12,1060,1,1998,81
12,9054,1,1995,526
12,9054,1,1996,504
12,4097,1,1997,1558
12,4103,1,1997,764
12,4107,1,1997,204
12,9054,1,1997,539
12,3996,1,1998,188
12,4097,1,2002,1713
12,1060,1,2000,83
12,4097,1,1999,1680
12,4103,1,1999,897
12,4097,1,2001,1753
12,4097,1,2000,1701
12,4103,1,2000,803
12,1060,1,2002,230
12,1060,1,2001,96
12,1060,1,1999,106
12,1060,1,2003,237
12,4097,1,2003,2275
12,4097,1,2004,2329
12,4097,1,2005,1872
13,4111,1,1981,293
13,4111,1,1980,284
13,4111,1,1987,348
13,4111,1,1990,562
13,4111,1,1982,302
13,4111,1,1985,330
13,4111,1,1984,321
13,4111,1,1983,312
13,4111,1,1989,258
13,4111,1,1986,339
13,4111,1,1988,357
13,4111,1,1991,671
13,4111,1,1992,173
15,7080,1,1977,68
15,7080,1,1981,81
15,1006,1,1980,143
15,7080,1,1978,75
15,7080,1,1976,61
15,7080,1,1975,57
15,7080,1,1980,55
15,7080,1,1979,65
15,1006,1,1981,146
15,1006,1,1982,150
15,7080,1,1988,151
15,7080,1,1989,447
15,1003,1,1984,49
15,1006,1,1984,131
15,1008,1,1984,167
15,7080,1,1986,151
15,7080,1,1987,151
15,1003,1,1989,87
15,1006,1,1989,197
15,1008,1,1989,177
15,7080,1,1982,106
15,7080,1,1985,144
15,1003,1,1988,92
15,1006,1,1988,200
15,1008,1,1988,162
15,1003,1,1987,96
15,1006,1,1987,204
15,7080,1,1984,136
15,7080,1,1990,262
15,1006,1,1983,93
15,1003,1,1986,80
15,1006,1,1986,187
15,1008,1,1986,209
15,1008,1,1987,219
15,1003,1,1990,184
15,1006,1,1990,184
15,1008,1,1990,357
15,1003,1,1994,135
15,1006,1,1994,179
15,1008,1,1994,172
15,7080,1,1983,121
15,1003,1,1985,65
15,1006,1,1985,169
15,1008,1,1985,211
15,7080,1,1993,223
15,1003,1,1993,126
15,1006,1,1993,188
15,1008,1,1993,258
15,1003,1,1991,170
15,7080,1,1992,235
15,1003,1,1992,178
15,1006,1,1992,161
15,1008,1,1992,344
15,1006,1,1991,154
15,1008,1,1991,351
15,7080,1,1994,210
15,7080,1,1991,248
15,1003,1,1997,84
15,1006,1,1997,229
15,1008,1,1997,289
15,1003,1,1998,177
15,1006,1,1998,193
15,1008,1,1998,264
15,7080,1,1998,285
15,7080,1,1995,193
15,1003,1,1995,138
15,1006,1,1995,202
15,1008,1,1995,324
15,7080,1,1996,461
15,1003,1,1996,175
15,1006,1,1996,209
15,1008,1,1996,254
15,7080,1,1997,375
15,1003,1,2000,180
15,1006,1,2000,189
15,1008,1,2000,490
15,7080,1,2002,380
15,7080,1,1999,504
15,1003,1,1999,166
15,1006,1,1999,157
15,1008,1,1999,377
15,7080,1,2001,572
15,1003,1,2002,167
15,7080,1,2000,608
15,1006,1,2002,210
15,1008,1,2002,224
15,1003,1,2001,194
15,1006,1,2001,220
15,1008,1,2001,357
15,1003,1,2006,204
15,1006,1,2006,257
15,1008,1,2006,441
15,1003,1,2003,165
15,1006,1,2003,182
15,1008,1,2003,491
15,1003,1,2004,270
15,1006,1,2004,252
15,1008,1,2004,493
15,1003,1,2005,396
15,1006,1,2005,202
15,1008,1,2005,424
15,7080,1,2003,433
15,1003,1,2007,290
15,1006,1,2007,218
15,1008,1,2007,814
15,1003,1,2008,231
15,1006,1,2008,236
15,1008,1,2008,408
15,1008,1,2009,369
16,1021,1,1989,490
16,1021,1,1988,473
16,1021,1,1986,456
16,1021,1,1987,456
16,1021,1,1990,446
16,1021,1,1994,633
16,1021,1,1985,387
16,1021,1,1993,776
16,1021,1,1992,402
16,1021,1,1991,492
16,1021,1,1996,330
16,1021,1,1997,450
