STATE_CODE,SHRP_ID,CONSTRUCTION_NO,LAYER_TYPE_EXP,REPR_THICKNESS
34,1638,1,Bound (treated) base,188.0
48,1049,1,Bound (treated) base,284.5
56,2018,1,Bound (treated) base,365.8
12,1060,1,Unbound (granular) base,279.4
12,3996,1,Unbound (granular) base,210.8
12,4105,1,Unbound (granular) base,256.5
12,9054,1,Unbound (granular) base,251.5
17,1003,1,Bound (treated) subbase,304.8
48,1049,1,Bound (treated) subbase,198.1
48,1060,1,Bound (treated) subbase,152.4
12,4097,1,Bound (treated) subbase,160.0
28,3083,1,Bound (treated) base,165.1
28,3082,1,Bound (treated) subbase,180.3
