STATE_CODE,SHRP_ID,YEAR,TOTAL_ANN_PRECIP
1,4125,2011,1183.800048828125
1,4125,2012,1263.0
1,4126,1948,894.0
1,4126,1949,1482.300048828125
1,4126,1950,1458.4000244140625
1,4126,1951,1470.300048828125
1,4126,1952,1216.699951171875
1,4126,1953,1332.5999755859375
1,4126,1954,1116.800048828125
1,4126,1955,1211.800048828125
1,4126,1956,1248.4000244140625
1,4126,1957,1798.199951171875
1,4126,1958,1214.0
1,4126,1959,1464.0
1,4126,1960,1195.199951171875
1,4126,1961,1974.0
1,4126,1962,1379.0999755859375
1,4126,1963,1183.199951171875
1,4126,1964,1801.5
1,4126,1965,1193.199951171875
1,4126,1966,1429.0999755859375
1,4126,1967,1300.699951171875
1,4126,1968,1508.4000244140625
1,4126,1969,1378.800048828125
1,4126,1970,1233.9000244140625
1,4126,1971,1637.5
1,4126,1972,1377.9000244140625
1,4126,1973,1639.699951171875
1,4126,1974,1531.9000244140625
1,4126,1975,1779.300048828125
1,4126,1976,1446.199951171875
1,4126,1977,1628.800048828125
1,4126,1978,1124.9000244140625
1,4126,1979,1696.9000244140625
1,4126,1980,1757.0
1,4126,1981,1239.0999755859375
1,4126,1982,1582.0
1,4126,1983,1657.800048828125
1,4126,1984,1382.0999755859375
1,4126,1985,1509.300048828125
1,4126,1986,1095.5
1,4126,1987,1380.9000244140625
1,4126,1988,1327.9000244140625
1,4126,1989,1740.699951171875
1,4126,1990,1706.300048828125
1,4126,1991,1655.9000244140625
1,4126,1992,1425.0
1,4126,1993,1179.0999755859375
1,4126,1994,1778.5
1,4126,1995,1560.4000244140625
1,4126,1996,1624.5999755859375
1,4126,1997,1834.4000244140625
1,4126,1998,1537.199951171875
1,4126,1999,1311.5999755859375
1,4126,2000,1335.5
1,4126,2001,1715.4000244140625
1,4126,2002,1708.9000244140625
1,4126,2003,1587.5
1,4126,2004,1726.9000244140625
1,4126,2005,1387.300048828125
1,4126,2006,1465.0999755859375
1,4126,2007,762.2000122070312
1,4126,2008,1510.0
1,4126,2009,1978.0999755859375
1,4126,2010,1433.800048828125
1,4126,2011,1760.300048828125
1,4126,2012,1352.300048828125
5,3048,1966,1303.0999755859375
5,3048,1967,1276.0999755859375
5,3048,1968,1304.5
5,3048,1969,976.7999877929688
5,3048,1970,1419.800048828125
5,3048,1971,1175.0
5,3048,1972,1288.800048828125
5,3048,1973,1418.199951171875
5,3048,1974,1641.0
5,3048,1975,1364.5999755859375
5,3048,1976,1077.9000244140625
5,3048,1977,1318.300048828125
5,3048,1978,1442.699951171875
5,3048,1979,1787.4000244140625
5,3048,1980,1244.699951171875
5,3048,1981,1067.699951171875
5,3048,1982,1534.5999755859375
5,3048,1983,1386.5999755859375
5,3048,1984,1580.300048828125
5,3048,1985,1001.0999755859375
5,3048,1986,1140.300048828125
5,3048,1987,1540.9000244140625
5,3048,1988,1299.199951171875
5,3048,1989,1708.800048828125
5,3048,1990,1527.4000244140625
5,3048,1991,1853.699951171875
5,3048,1992,1293.4000244140625
5,3048,1993,1305.199951171875
5,3048,1994,1465.699951171875
5,3048,1995,1087.300048828125
5,3048,1996,1389.0
5,3048,1997,1755.9000244140625
5,3048,1998,1167.9000244140625
5,3048,1999,1241.4000244140625
5,3048,2000,994.7999877929688
5,3048,2001,1652.300048828125
5,3048,2002,1350.699951171875
5,3048,2003,1547.5
5,3048,2004,1679.300048828125
5,3048,2005,933.5
5,3048,2006,1172.699951171875
5,3048,2007,1011.7000122070312
5,3048,2008,1424.199951171875
5,3048,2009,1870.800048828125
5,3048,2010,861.0999755859375
5,3048,2011,1411.300048828125
5,3048,2012,860.2999877929688
6,1253,2004,1059.0
6,1253,2005,1735.9000244140625
6,1253,2006,1443.5
6,1253,2007,874.0
6,1253,2008,878.5
6,1253,2009,1051.0
